"","X","index","func","f.0.hat","alpha","u","w","length","time","loglik"
"1",1,"1 A45","con.f.con.u",13.3639678744165,NA,0.000614474349295974,NA,1.211312278,0.361805556,-28.0959467515298
"2",2,"1 Bris.10","con.f.con.u",8.771698497748,NA,0.000343254565507814,NA,1.13878509083929,0.353497023589286,-20.4223257036362
"3",3,"1 Bris.112","con.f.con.u",9.37369512612931,NA,0.000434569666665484,NA,1.10486690375,0.354166667,-8.42051294944857
"4",4,"1 Bris.6","con.f.con.u",5.33965385333781,NA,0.00170669615834039,NA,1.22824559792593,0.354861111,4.25358434440343
"5",5,"1 Cback.256","con.f.con.u",9.01487289524729,NA,0.00169471205771093,NA,0.9976276991,0.377777778,-13.1569859881435
"6",6,"1 Dog.4","con.f.con.u",6.54788686901887,NA,0.00107339687912355,NA,1.183708647,0.36875,0.531533480335117
"7",7,"1 Mid.276","con.f.con.u",9.73007500663287,NA,0.00123502459250049,NA,0.989833732898305,0.365972222,-20.5796275325995
"8",8,"1 Mid.277","con.f.con.u",12.2915814791304,NA,0.00090648669586965,NA,1.05608244710169,0.373611111,-26.1703396300611
"9",9,"1 War.5","con.f.con.u",12.0416216313504,NA,0.000352610998567416,NA,1.18723608884211,0.377777778,-13.244672637707
"10",10,"2 A45","con.f.con.u",11.4638972219953,NA,0.000320693368885695,NA,1.2272002925,0.359722222,-1.59004481456407
"11",11,"2 A48","con.f.con.u",9.80261422051262,NA,0.000463829932347803,NA,1.11175550446154,0.35625,0.0109616233392558
"12",12,"2 Bris.10","con.f.con.u",6.37288347402801,NA,0.000272324254229708,NA,1.20990299162264,0.357638889,7.40565397715056
"13",13,"2 Dog.4","con.f.con.u",8.17946208264912,NA,0.000447329014670067,NA,1.16234332106667,0.359722222,8.44706654350614
"14",14,"2 Is.278","con.f.con.u",5.15133001451467,NA,0.000654924738389045,NA,1.06060503266667,0.363888889,12.0034797541389
"15",15,"2 Mid.263","con.f.con.u",8.80155605008477,NA,0.000339868740515576,NA,1.0843355754,0.357638889,22.1820216117838
