tube,temp,resource,species,exposed,male,removed,KBP,missing,mortality_day,end_data_date,length_RAW,length_mag_correction,lm_corr_factor,inf
276,15,1,D,0,NA,1,NA,NA,NA,5/23/22,89,NA,NA,0
277,15,1,D,0,1,1,NA,NA,NA,5/5/22,57,NA,NA,0
278,15,1,D,0,NA,1,NA,NA,NA,5/23/22,87,NA,NA,0
279,15,1,D,0,NA,1,NA,NA,NA,5/23/22,87,NA,NA,0
280,15,1,D,0,NA,1,NA,NA,NA,5/23/22,82,NA,NA,0
281,15,1,D,0,NA,NA,NA,NA,5/21/22,NA,88,NA,NA,0
282,15,1,D,0,NA,1,NA,NA,NA,5/23/22,93,NA,NA,0
283,15,1,D,0,NA,1,NA,NA,NA,5/23/22,87,NA,NA,0
284,15,1,D,0,NA,1,NA,NA,NA,5/23/22,88,NA,NA,0
285,15,1,D,0,NA,NA,NA,NA,5/21/22,NA,89,NA,NA,0
286,15,1,D,1,NA,1,NA,NA,NA,5/18/22,81,NA,NA,0
287,15,1,D,1,NA,NA,NA,1,NA,4/11/22,NA,NA,NA,NA
288,15,1,D,1,NA,1,NA,NA,NA,5/18/22,87,NA,NA,0
289,15,1,D,1,NA,1,NA,NA,NA,5/18/22,86,NA,NA,0
290,15,1,D,1,NA,1,NA,NA,NA,5/18/22,90,NA,NA,0
291,15,1,D,1,NA,NA,NA,NA,5/17/22,NA,86,NA,NA,1
292,15,1,D,1,NA,NA,NA,NA,4/15/22,NA,46,NA,NA,NA
293,15,1,D,1,NA,1,NA,NA,NA,5/18/22,92,NA,NA,0
294,15,1,D,1,NA,1,NA,NA,NA,5/18/22,89,NA,NA,0
295,15,1,D,1,NA,1,NA,NA,NA,5/18/22,87,NA,NA,0
296,15,1,D,1,NA,1,NA,NA,NA,5/18/22,89,NA,NA,0
297,15,1,D,1,NA,NA,NA,1,NA,4/11/22,NA,NA,NA,NA
298,15,1,D,1,NA,1,NA,NA,NA,5/18/22,78,NA,NA,0
299,15,1,D,1,NA,NA,NA,NA,5/20/22,NA,87,NA,NA,1
300,15,1,D,1,NA,1,NA,NA,NA,5/18/22,87,NA,NA,0
301,15,1,D,1,NA,NA,NA,NA,5/19/22,NA,88,NA,NA,1
302,15,1,D,1,NA,1,NA,NA,NA,5/18/22,89,NA,NA,0
303,15,1,D,1,NA,NA,NA,NA,5/13/22,NA,NA,NA,NA,1
304,15,1,D,1,NA,NA,NA,NA,5/21/22,NA,79,NA,NA,1
305,15,1,D,1,NA,NA,NA,NA,4/14/22,NA,35,NA,NA,NA
306,15,1,D,1,NA,1,NA,NA,NA,5/18/22,84,NA,NA,0
307,15,1,D,1,NA,1,NA,NA,NA,5/18/22,82,NA,NA,0
308,15,1,D,1,NA,1,NA,NA,NA,5/18/22,88,NA,NA,0
309,15,1,D,1,NA,NA,NA,NA,5/13/22,NA,86,NA,NA,1
310,15,1,D,1,NA,1,NA,NA,NA,5/18/22,95,NA,NA,0
311,15,1,D,1,NA,1,NA,NA,NA,5/18/22,87,NA,NA,0
312,15,1,D,1,NA,NA,NA,NA,5/7/22,NA,83,NA,NA,0
313,15,1,D,1,NA,NA,NA,NA,4/14/22,NA,65,NA,NA,NA
314,15,1,D,1,NA,1,NA,NA,NA,5/18/22,86,NA,NA,0
315,15,1,D,1,NA,NA,NA,NA,5/17/22,NA,84,NA,NA,1
316,15,1,D,1,NA,1,NA,NA,NA,5/18/22,91,NA,NA,0
317,15,1,D,1,NA,1,NA,NA,NA,5/18/22,89,NA,NA,0
318,15,1,D,1,NA,NA,NA,NA,5/19/22,NA,83,NA,NA,1
319,15,1,D,1,NA,1,NA,NA,NA,5/18/22,81,NA,NA,0
320,15,1,D,1,NA,NA,NA,NA,5/18/22,NA,84,NA,NA,1
321,15,1,D,1,NA,NA,NA,NA,5/21/22,NA,85,NA,NA,1
322,15,1,D,1,NA,1,NA,NA,NA,5/18/22,86,NA,NA,0
323,15,1,D,1,NA,1,NA,NA,NA,5/18/22,89,NA,NA,0
324,15,1,D,1,NA,NA,NA,NA,5/22/22,NA,97,NA,NA,1
325,15,1,D,1,NA,1,NA,NA,NA,5/18/22,86,NA,NA,0
326,15,1,D,1,NA,1,NA,NA,NA,5/18/22,87,NA,NA,0
327,15,1,D,1,NA,1,NA,NA,NA,5/18/22,86,NA,NA,0
328,15,1,D,1,NA,NA,NA,NA,5/12/22,NA,84,NA,NA,1
329,15,1,D,1,NA,1,NA,NA,NA,5/18/22,88,NA,NA,0
330,15,1,D,1,NA,1,NA,NA,NA,5/18/22,90,NA,NA,0
331,20,0.1,D,0,NA,NA,NA,1,NA,5/21/22,NA,NA,NA,NA
332,20,0.1,D,0,NA,NA,NA,NA,5/19/22,NA,92,NA,NA,0
333,20,0.1,D,0,NA,NA,NA,NA,5/22/22,NA,NA,NA,NA,0
334,20,0.1,D,0,NA,NA,NA,NA,5/23/22,NA,95,NA,NA,0
335,20,0.1,D,0,NA,NA,NA,NA,4/29/22,NA,NA,NA,NA,0
336,20,0.1,D,0,NA,NA,NA,NA,5/16/22,NA,88,NA,NA,0
337,20,0.1,D,0,NA,NA,1,NA,NA,4/23/22,76,NA,NA,0
338,20,0.1,D,0,NA,NA,NA,NA,5/23/22,NA,NA,NA,NA,0
339,20,0.1,D,0,NA,NA,NA,1,NA,4/21/22,NA,NA,NA,NA
340,20,0.1,D,0,NA,NA,NA,NA,5/22/22,NA,95,NA,NA,0
341,20,0.1,D,0,NA,NA,NA,NA,5/21/22,NA,92,NA,NA,0
342,20,0.1,D,0,1,1,NA,NA,NA,5/1/22,63,NA,NA,0
343,20,0.1,D,0,NA,NA,NA,NA,5/23/22,NA,91,NA,NA,0
344,20,0.1,D,0,NA,NA,NA,NA,5/23/22,NA,95,NA,NA,0
345,20,0.1,D,0,NA,NA,NA,NA,5/23/22,NA,NA,NA,NA,0
346,20,0.1,D,1,NA,NA,NA,NA,4/29/22,NA,73,NA,NA,1
347,20,0.1,D,1,NA,NA,NA,NA,4/30/22,NA,81,NA,NA,1
348,20,0.1,D,1,NA,NA,NA,NA,4/23/22,NA,54,NA,NA,1
349,20,0.1,D,1,NA,NA,NA,NA,5/2/22,NA,82,NA,NA,1
350,20,0.1,D,1,NA,NA,NA,NA,4/28/22,NA,76,NA,NA,1
351,20,0.1,D,1,NA,NA,NA,NA,5/1/22,NA,76,NA,NA,1
352,20,0.1,D,1,NA,NA,NA,NA,4/29/22,NA,79,NA,NA,1
353,20,0.1,D,1,NA,NA,NA,NA,4/29/22,NA,81,NA,NA,1
354,20,0.1,D,1,NA,NA,NA,NA,4/27/22,NA,80,NA,NA,1
355,20,0.1,D,1,NA,NA,NA,NA,4/29/22,NA,75,NA,NA,1
356,20,0.1,D,1,NA,NA,NA,NA,4/30/22,NA,83,NA,NA,1
357,20,0.1,D,1,1,NA,NA,NA,4/20/22,NA,53,NA,NA,1
358,20,0.1,D,1,1,1,NA,NA,NA,4/30/22,54,NA,NA,0
359,20,0.1,D,1,1,NA,NA,NA,4/24/22,NA,59,NA,NA,1
360,20,0.1,D,1,NA,NA,NA,1,NA,4/20/22,NA,NA,NA,NA
361,20,0.1,D,1,NA,1,NA,NA,NA,5/19/22,97,NA,NA,0
362,20,0.1,D,1,NA,NA,NA,NA,4/29/22,NA,NA,NA,NA,1
363,20,0.1,D,1,NA,NA,NA,NA,4/24/22,NA,74,NA,NA,1
364,20,0.1,D,1,NA,NA,NA,NA,4/29/22,NA,67,NA,NA,1
365,20,0.1,D,1,NA,1,NA,NA,4/30/22,NA,77,NA,NA,1
366,20,0.1,D,1,NA,NA,NA,NA,NA,5/18/22,94,NA,NA,0
367,20,0.1,D,1,NA,NA,NA,NA,4/16/22,NA,74,NA,NA,NA
368,20,0.1,D,1,1,NA,NA,NA,4/23/22,NA,64,NA,NA,1
369,20,0.1,D,1,NA,NA,NA,NA,4/29/22,NA,77,NA,NA,1
370,20,0.1,D,1,NA,NA,NA,NA,4/29/22,NA,NA,NA,NA,NA
371,20,0.1,D,1,NA,NA,NA,NA,4/23/22,NA,76,NA,NA,1
372,20,0.1,D,1,NA,NA,NA,NA,4/29/22,NA,NA,NA,NA,1
373,20,0.1,D,1,NA,NA,NA,NA,4/22/22,NA,NA,NA,NA,1
374,20,0.1,D,1,NA,NA,NA,NA,4/22/22,NA,57,NA,NA,1
375,20,0.1,D,1,NA,NA,NA,NA,4/29/22,NA,NA,NA,NA,NA
376,20,0.5,D,0,NA,NA,NA,NA,5/21/22,NA,94,1,-1,0
377,20,0.5,D,0,NA,NA,NA,NA,5/21/22,NA,97,1,-1,0
378,20,0.5,D,0,NA,NA,1,NA,NA,4/15/22,71,NA,NA,NA
379,20,0.5,D,0,NA,NA,NA,NA,5/23/22,NA,96,1,-1,0
380,20,0.5,D,0,NA,NA,NA,NA,5/23/22,NA,NA,NA,NA,0
381,20,0.5,D,0,1,1,NA,NA,NA,5/1/22,59,NA,NA,0
382,20,0.5,D,0,NA,1,NA,NA,NA,5/23/22,98,NA,NA,0
383,20,0.5,D,0,NA,NA,NA,NA,4/23/22,NA,88,NA,NA,0
384,20,0.5,D,0,NA,NA,NA,NA,5/21/22,NA,93,1,-1,0
385,20,0.5,D,0,NA,NA,NA,NA,4/24/22,NA,84,NA,NA,0
386,20,0.5,D,0,NA,NA,NA,NA,4/24/22,NA,88,NA,NA,0
387,20,0.5,D,0,NA,1,NA,NA,NA,5/23/22,96,1,-1,0
388,20,0.5,D,0,NA,NA,NA,1,4/12/22,NA,NA,NA,NA,NA
389,20,0.5,D,0,1,1,NA,NA,NA,5/1/22,59,NA,NA,0
390,20,0.5,D,0,NA,1,NA,NA,NA,5/23/22,83,1,-2,0
391,20,0.5,D,1,NA,1,NA,NA,NA,5/18/22,100,1,-1,0
392,20,0.5,D,1,NA,NA,NA,NA,4/22/22,NA,59,NA,NA,1
393,20,0.5,D,1,NA,NA,NA,NA,4/15/22,NA,NA,NA,NA,1
394,20,0.5,D,1,NA,NA,NA,NA,4/30/22,NA,84,NA,NA,0
395,20,0.5,D,1,NA,NA,NA,NA,5/1/22,NA,88,NA,NA,1
396,20,0.5,D,1,NA,NA,NA,NA,4/25/22,NA,NA,NA,NA,1
397,20,0.5,D,1,NA,1,NA,NA,NA,5/18/22,93,1,-1,0
398,20,0.5,D,1,NA,NA,NA,NA,NA,5/5/22,NA,NA,NA,NA
399,20,0.5,D,1,1,NA,NA,NA,4/24/22,NA,62,NA,NA,1
400,20,0.5,D,1,NA,1,NA,NA,NA,5/18/22,95,1,-1,0
401,20,0.5,D,1,NA,1,NA,NA,NA,5/18/22,91,1,-1,0
402,20,0.5,D,1,NA,1,NA,NA,NA,5/18/22,95,1,-1,0
403,20,0.5,D,1,1,1,NA,NA,NA,5/1/22,62,NA,NA,0
404,20,0.5,D,1,NA,NA,NA,NA,4/23/22,NA,74,NA,NA,1
405,20,0.5,D,1,NA,NA,NA,NA,4/25/22,NA,77,NA,NA,1
406,20,0.5,D,1,1,1,NA,NA,NA,5/1/22,61,NA,NA,0
407,20,0.5,D,1,NA,NA,NA,NA,4/21/22,NA,77,NA,NA,0
408,20,0.5,D,1,NA,NA,NA,NA,4/23/22,NA,85,NA,NA,1
409,20,0.5,D,1,NA,1,NA,NA,NA,5/18/22,96,1,-1,0
410,20,0.5,D,1,NA,1,NA,NA,NA,5/18/22,92,1,-1,0
411,20,0.5,D,1,NA,NA,NA,NA,4/25/22,NA,72,NA,NA,1
412,20,0.5,D,1,NA,1,NA,NA,NA,5/18/22,94,1,-1,0
413,20,0.5,D,1,NA,NA,NA,NA,5/1/22,NA,85,NA,NA,1
414,20,0.5,D,1,NA,NA,NA,NA,4/22/22,NA,77,NA,NA,1
415,20,0.5,D,1,1,1,NA,NA,NA,5/1/22,61,NA,NA,0
416,20,0.5,D,1,NA,NA,NA,NA,4/25/22,NA,79,NA,NA,1
417,20,0.5,D,1,1,NA,NA,NA,4/22/22,NA,52,NA,NA,0
418,20,0.5,D,1,NA,NA,NA,NA,4/29/22,NA,81,NA,NA,1
419,20,0.5,D,1,NA,1,NA,NA,NA,5/18/22,91,1,-1,0
420,20,0.5,D,1,NA,1,NA,NA,NA,5/18/22,95,1,-1,0
421,20,1,D,0,1,1,NA,NA,NA,5/1/22,63,NA,NA,0
422,20,1,D,0,NA,1,NA,NA,NA,5/23/22,82,1,-2,0
423,20,1,D,0,NA,NA,NA,NA,5/20/22,NA,94,1,-1,0
424,20,1,D,0,NA,NA,NA,NA,5/22/22,NA,94,1,-1,0
425,20,1,D,0,NA,1,NA,NA,NA,5/23/22,80,1,-2,0
426,20,1,D,0,NA,1,NA,NA,NA,5/23/22,99,1,-1,0
427,20,1,D,0,NA,NA,NA,NA,5/20/22,NA,80,1,-2,0
428,20,1,D,0,NA,NA,NA,NA,5/22/22,NA,97,1,-1,0
429,20,1,D,0,NA,NA,NA,NA,5/22/22,NA,99,1,-1,0
430,20,1,D,0,NA,1,NA,NA,NA,5/23/22,82,1,-2,0
431,20,1,D,0,NA,1,NA,NA,NA,5/23/22,98,1,-1,0
432,20,1,D,0,1,NA,1,NA,NA,4/23/22,57,NA,NA,0
433,20,1,D,0,NA,NA,NA,NA,5/14/22,NA,91,1,-1,0
434,20,1,D,0,NA,1,NA,NA,NA,5/23/22,82,1,-2,0
435,20,1,D,0,1,1,NA,NA,NA,5/1/22,61,NA,NA,0
436,20,1,D,1,NA,1,NA,NA,NA,5/18/22,80,1,-2,0
437,20,1,D,1,NA,1,NA,NA,NA,5/18/22,98,1,-1,0
438,20,1,D,1,NA,1,NA,NA,NA,5/18/22,96,1,-1,0
439,20,1,D,1,NA,NA,NA,NA,4/26/22,NA,75,NA,NA,1
440,20,1,D,1,NA,NA,NA,NA,4/20/22,NA,85,NA,NA,1
441,20,1,D,1,NA,1,NA,NA,NA,5/18/22,92,1,-1,0
442,20,1,D,1,NA,NA,NA,NA,4/22/22,NA,78,NA,NA,1
443,20,1,D,1,NA,NA,NA,NA,4/25/22,NA,82,NA,NA,1
444,20,1,D,1,NA,1,NA,NA,NA,5/18/22,97,1,-1,0
445,20,1,D,1,NA,1,NA,NA,NA,5/18/22,95,1,-1,0
446,20,1,D,1,NA,1,NA,NA,NA,5/18/22,79,1,-2,0
447,20,1,D,1,NA,NA,NA,NA,4/24/22,NA,83,NA,NA,1
448,20,1,D,1,NA,1,NA,NA,NA,5/18/22,98,1,-1,0
449,20,1,D,1,NA,NA,NA,NA,4/24/22,NA,78,NA,NA,1
450,20,1,D,1,NA,NA,NA,1,NA,4/23/22,NA,NA,NA,NA
451,20,1,D,1,NA,NA,NA,NA,4/25/22,NA,82,NA,NA,1
452,20,1,D,1,NA,NA,NA,NA,4/29/22,NA,78,NA,NA,1
453,20,1,D,1,NA,NA,NA,NA,4/24/22,NA,NA,NA,NA,1
454,20,1,D,1,NA,1,NA,NA,NA,5/18/22,81,1,-2,0
455,20,1,D,1,NA,NA,NA,NA,4/24/22,NA,84,NA,NA,1
456,20,1,D,1,NA,NA,NA,NA,4/29/22,NA,80,NA,NA,1
457,20,1,D,1,NA,NA,NA,NA,4/24/22,NA,83,NA,NA,1
458,20,1,D,1,NA,1,NA,NA,NA,5/18/22,82,1,-2,0
459,20,1,D,1,NA,NA,NA,NA,4/30/22,NA,80,NA,NA,1
460,20,1,D,1,NA,1,NA,NA,NA,5/18/22,80,1,-2,0
461,20,1,D,1,NA,NA,NA,NA,4/24/22,NA,76,NA,NA,1
462,20,1,D,1,NA,NA,NA,NA,4/24/22,NA,85,NA,NA,1
463,20,1,D,1,NA,NA,NA,1,NA,4/10/22,NA,NA,NA,NA
464,20,1,D,1,NA,NA,NA,1,NA,4/10/22,NA,NA,NA,NA
465,20,1,D,1,NA,1,NA,NA,NA,5/18/22,100,1,-1,0
466,25,0.1,D,0,NA,NA,NA,NA,4/13/22,NA,65,NA,NA,0
467,25,0.1,D,0,NA,NA,NA,NA,5/9/22,NA,92,NA,NA,1
468,25,0.1,D,0,NA,NA,NA,NA,5/13/22,NA,95,NA,NA,0
469,25,0.1,D,0,NA,NA,NA,NA,5/22/22,NA,NA,NA,NA,0
470,25,0.1,D,0,NA,NA,NA,NA,5/17/22,NA,94,NA,NA,0
471,25,0.1,D,0,NA,NA,NA,NA,4/14/22,NA,74,NA,NA,NA
472,25,0.1,D,0,NA,NA,NA,NA,5/23/22,NA,NA,NA,NA,0
473,25,0.1,D,0,NA,NA,NA,NA,5/22/22,NA,97,NA,NA,0
474,25,0.1,D,0,NA,NA,NA,NA,5/22/22,NA,90,1,-1,0
475,25,0.1,D,0,NA,NA,NA,NA,5/22/22,NA,97,NA,NA,0
476,25,0.1,D,0,NA,NA,NA,NA,5/23/22,NA,NA,NA,NA,0
477,25,0.1,D,0,NA,NA,NA,1,NA,4/22/22,NA,NA,NA,NA
