Date,Time,Site,Unit ID,User ID,°F-21A104910,mmHg-21A105443,DO %-21A106679,DO mg/L-21A106679,SPC-uS/cm-21A104910,C-uS/cm-21A104910,nLFC-uS/cm-21A104910,ohm-cm-21A104910,TDS mg/L-21A104910,SAL-PSU-21A104910,Density-21A104910,Density-T-21A104910,pH-21B101988,pH mV-21B101988,Phycocyanin RFU-21B101736,Phycocyanin ug/L-21B101736,Chlorophyll RFU-21B101736,Chlorophyll ug/L-21B101736,DEP m-20M103012,Vpos m-20M103012
7/25/2022,9:43:26 AM,Tank 24,Strauss lab 1,,71.239,753.1,102.5,9,164,154,165,6493,107,0.08,-2.1,-2.1,7.67,-136.4,0.95,0.93,3.79,15.5,-0.014,-0.015
7/25/2022,9:43:29 AM,Tank 24,Strauss lab 1,,71.242,753.1,108.5,9.52,164.1,154.1,165.1,6490,107,0.08,-2.1,-2.1,7.71,-138.5,0.95,0.94,2.88,11.73,-0.015,-0.014
7/25/2022,9:43:32 AM,Tank 24,Strauss lab 1,,71.161,753,113.7,9.99,164.3,154.1,165.3,6488,107,0.08,-2.1,-2.1,7.76,-141.2,0.97,0.96,2.97,12.09,-0.015,-0.029
7/25/2022,9:43:35 AM,Tank 24,Strauss lab 1,,71.052,753,116.4,10.23,164.5,154.1,165.5,6489,107,0.08,-2.1,-2.1,7.81,-144.1,0.75,0.74,2.17,8.77,-0.011,-0.005
7/25/2022,9:43:38 AM,Tank 24,Strauss lab 1,,70.984,753.1,122.6,10.79,164.5,154,165.5,6493,107,0.08,-2.1,-2.1,7.86,-147.1,0.68,0.66,2.95,11.98,-0.009,-0.006
7/25/2022,9:43:41 AM,Tank 24,Strauss lab 1,,70.988,753,124.9,10.99,164.4,153.9,165.4,6498,107,0.08,-2.1,-2.1,7.91,-150,0.72,0.71,2.24,9.04,-0.012,-0.01
7/25/2022,9:45:11 AM,Tank 58,Strauss lab 1,,77.304,753,82.8,6.82,169.2,169.8,169.2,5890,110,0.08,-2.9,-2.9,7.78,-142.8,0.67,0.66,2.33,9.44,-0.013,-0.003
7/25/2022,9:45:14 AM,Tank 58,Strauss lab 1,,77.278,753,87.7,7.23,169.1,169.6,169.1,5895,110,0.08,-2.9,-2.9,7.75,-141.1,0.52,0.5,1.66,6.63,-0.013,-0.005
7/25/2022,9:45:17 AM,Tank 58,Strauss lab 1,,77.324,753.1,89.6,7.38,169.1,169.6,169,5895,110,0.08,-2.9,-2.9,7.73,-140,0.53,0.51,2.46,9.94,-0.013,-0.004
7/25/2022,9:45:20 AM,Tank 58,Strauss lab 1,,77.399,753,90.8,7.47,169.1,169.9,169.1,5887,110,0.08,-2.9,-2.9,7.71,-138.8,0.63,0.61,2.49,10.07,-0.015,-0.004
7/25/2022,9:45:23 AM,Tank 58,Strauss lab 1,,77.465,752.9,91.6,7.53,169.5,170.3,169.4,5872,110,0.08,-3,-3,7.69,-137.8,0.68,0.66,1.98,7.96,-0.017,-0.032
