Date,Time,Site,Unit ID,User ID,°F-21A104910,mmHg-21A105443,DO %-21A106679,DO mg/L-21A106679,SPC-uS/cm-21A104910,C-uS/cm-21A104910,nLFC-uS/cm-21A104910,ohm-cm-21A104910,TDS mg/L-21A104910,SAL-PSU-21A104910,Density-21A104910,Density-T-21A104910,pH-21B101988,pH mV-21B101988,Phycocyanin RFU-21B101736,Phycocyanin ug/L-21B101736,Chlorophyll RFU-21B101736,Chlorophyll ug/L-21B101736,DEP m-20M103012,Vpos m-20M103012
8/15/2022,9:12:08 AM,Tank 29,Strauss lab 1,,70.546,748.7,110.3,9.75,160.2,149.2,161.3,6700,104,0.08,-2,-2,9.32,-230.8,0.87,0.86,1.42,5.63,-0.071,-0.063
8/15/2022,9:12:11 AM,Tank 29,Strauss lab 1,,70.539,748.7,110.8,9.79,160.2,149.3,161.3,6700,104,0.08,-2,-2,9.33,-231.3,0.76,0.75,1.61,6.41,-0.073,-0.06
8/15/2022,9:12:14 AM,Tank 29,Strauss lab 1,,70.535,748.7,111.2,9.83,160.3,149.3,161.3,6699,104,0.08,-2,-2,9.34,-231.9,0.84,0.83,1.28,5.07,-0.076,-0.076
8/15/2022,9:12:17 AM,Tank 29,Strauss lab 1,,70.531,748.7,111.5,9.86,160.3,149.3,161.3,6699,104,0.08,-2,-2,9.35,-232.3,0.87,0.86,1.84,7.37,-0.075,-0.08
8/15/2022,9:12:20 AM,Tank 29,Strauss lab 1,,70.528,748.7,111.8,9.89,160.3,149.3,161.4,6698,104,0.08,-2,-2,9.35,-232.7,0.9,0.88,1.51,6.03,-0.072,-0.075
8/15/2022,9:12:23 AM,Tank 29,Strauss lab 1,,70.522,748.7,112.2,9.92,160.3,149.3,161.4,6698,104,0.08,-2,-2,9.36,-233.1,0.79,0.78,1.37,5.43,-0.071,-0.062
8/15/2022,9:12:26 AM,Tank 29,Strauss lab 1,,70.518,748.7,112.4,9.94,160.3,149.3,161.4,6699,104,0.08,-2,-2,9.37,-233.4,0.88,0.86,1.41,5.58,-0.073,-0.074
8/15/2022,9:14:22 AM,Tank 31,Strauss lab 1,,70.045,748.7,94.1,8.36,172.2,159.5,173.4,6270,112,0.08,-2,-2,9.9,-263.5,0.56,0.54,1.53,6.1,-0.069,-0.06
8/15/2022,9:14:25 AM,Tank 31,Strauss lab 1,,70.018,748.7,95.8,8.52,172.2,159.4,173.4,6272,112,0.08,-2,-2,9.93,-265.6,0.69,0.68,5.44,22.35,-0.072,-0.063
8/15/2022,9:14:28 AM,Tank 31,Strauss lab 1,,70.044,748.7,97.3,8.65,172,159.3,173.2,6277,112,0.08,-2,-2,9.96,-267.4,0.77,0.75,5.24,21.54,-0.074,-0.076
8/15/2022,9:14:31 AM,Tank 31,Strauss lab 1,,70.07,748.7,98.5,8.75,171.8,159.2,173.1,6281,112,0.08,-2,-2,9.99,-269,0.83,0.81,2.59,10.49,-0.074,-0.064
8/15/2022,9:14:34 AM,Tank 31,Strauss lab 1,,70.071,748.7,99.4,8.83,171.7,159.1,172.9,6286,112,0.08,-2,-2,10.01,-270.1,0.66,0.64,2.5,10.11,-0.072,-0.079
8/15/2022,9:14:37 AM,Tank 31,Strauss lab 1,,70.065,748.7,100.3,8.91,171.6,159,172.8,6291,112,0.08,-2,-2,10.03,-271.2,0.35,0.33,2.46,9.96,-0.073,-0.076
8/15/2022,9:14:40 AM,Tank 31,Strauss lab 1,,70.058,748.7,101,8.97,171.5,158.8,172.7,6296,111,0.08,-2,-2,10.04,-272.1,0.28,0.26,2.19,8.84,-0.075,-0.075
8/15/2022,9:16:30 AM,Tank 32,Strauss lab 1,,70.261,748.7,106.3,9.43,185.4,172.2,186.7,5808,121,0.09,-2,-2,10.18,-279.9,0.16,0.13,0.1,0.16,-0.078,-0.091
8/15/2022,9:16:33 AM,Tank 32,Strauss lab 1,,70.242,748.7,107,9.49,185.5,172.2,186.7,5808,121,0.09,-2,-2,10.19,-280.6,0.19,0.16,0.14,0.3,-0.076,-0.076
8/15/2022,9:16:36 AM,Tank 32,Strauss lab 1,,70.227,748.7,107.5,9.53,185.5,172.2,186.8,5808,121,0.09,-2,-2,10.2,-281.1,0.23,0.21,0.08,0.05,-0.074,-0.063
