Date,Time,Site,Unit ID,User ID,°F-21A104910,mmHg-21A105443,DO %-21A106679,DO mg/L-21A106679,SPC-uS/cm-21A104910,C-uS/cm-21A104910,nLFC-uS/cm-21A104910,ohm-cm-21A104910,TDS mg/L-21A104910,SAL-PSU-21A104910,Density-21A104910,Density-T-21A104910,pH-21B101988,pH mV-21B101988,Phycocyanin RFU-21B101736,Phycocyanin ug/L-21B101736,Chlorophyll RFU-21B101736,Chlorophyll ug/L-21B101736,DEP m-20M103012,Vpos m-20M103012
8/22/2022,9:11:22 AM,Tank 29,Strauss lab 1,,70.269,750.8,107.7,9.55,167,155.1,168.2,6448,109,0.08,-2,-2,11.32,-345.4,0.02,0,0.68,2.57,-0.052,-0.056
8/22/2022,9:11:25 AM,Tank 29,Strauss lab 1,,70.254,750.7,108,9.58,167.1,155.1,168.2,6448,109,0.08,-2,-2,11.32,-345.3,0.13,0.1,0.71,2.67,-0.049,-0.042
8/22/2022,9:11:28 AM,Tank 29,Strauss lab 1,,70.236,750.7,108.3,9.6,167.1,155.1,168.2,6448,109,0.08,-2,-2,11.32,-345.1,0.17,0.15,0.74,2.81,-0.046,-0.049
8/22/2022,9:11:31 AM,Tank 29,Strauss lab 1,,70.223,750.7,108.5,9.62,167.1,155.1,168.3,6448,109,0.08,-2,-2,11.32,-344.9,0.25,0.23,0.63,2.33,-0.045,-0.049
8/22/2022,9:11:34 AM,Tank 29,Strauss lab 1,,70.215,750.7,108.7,9.64,167.1,155.1,168.3,6448,109,0.08,-2,-2,11.31,-344.7,0.13,0.11,0.71,2.69,-0.047,-0.043
8/22/2022,9:11:37 AM,Tank 29,Strauss lab 1,,70.211,750.7,108.8,9.66,167.1,155.1,168.3,6448,109,0.08,-2,-2,11.31,-344.5,0.14,0.12,0.58,2.14,-0.049,-0.049
8/22/2022,9:11:40 AM,Tank 29,Strauss lab 1,,70.208,750.7,109,9.67,167.1,155.1,168.3,6449,109,0.08,-2,-2,11.3,-344.3,0.14,0.12,0.53,1.94,-0.05,-0.056
8/22/2022,9:11:43 AM,Tank 29,Strauss lab 1,,70.207,750.7,109.2,9.68,167.1,155.1,168.3,6449,109,0.08,-2,-2,11.3,-344.1,0.16,0.14,0.39,1.36,-0.048,-0.054
8/22/2022,9:11:46 AM,Tank 29,Strauss lab 1,,70.205,750.7,109.3,9.7,167.1,155.1,168.3,6449,109,0.08,-2,-2,11.3,-343.8,0.19,0.17,0.4,1.38,-0.048,-0.051
8/22/2022,9:11:49 AM,Tank 29,Strauss lab 1,,70.226,750.6,109.3,9.7,66.1,61.4,66.6,16291,43,0.03,-2,-2,11.29,-343.3,0.45,0.43,0.32,1.06,-0.047,-0.035
8/22/2022,9:11:52 AM,Tank 29,Strauss lab 1,,75.515,750.7,98.8,8.28,126.3,124.3,126.5,8044,82,0.06,-2.7,-2.7,10.61,-306.5,0.34,0.32,0.23,0.68,-0.048,-0.036
8/22/2022,9:11:55 AM,Tank 29,Strauss lab 1,,75.406,750.7,88.1,7.4,128.3,126.1,128.5,7930,83,0.06,-2.7,-2.7,10.57,-304.2,0.34,0.32,0.11,0.19,-0.048,-0.062
8/22/2022,9:11:58 AM,Tank 29,Strauss lab 1,,75.319,750.6,82.8,6.96,128.8,126.5,129,7905,84,0.06,-2.7,-2.7,10.53,-302,0.06,0.03,0.05,-0.06,-0.049,-0.063
8/22/2022,9:12:01 AM,Tank 29,Strauss lab 1,,75.238,750.6,75.8,6.38,129.7,127.2,129.9,7859,84,0.06,-2.7,-2.7,10.5,-300.3,-0.03,-0.05,0.08,0.05,-0.048,-0.055
8/22/2022,9:12:04 AM,Tank 29,Strauss lab 1,,75.207,750.7,73.2,6.16,129.5,127.1,129.8,7869,84,0.06,-2.7,-2.7,10.47,-298.2,-0.02,-0.04,0.06,-0.02,-0.046,-0.03
8/22/2022,9:12:07 AM,Tank 29,Strauss lab 1,,75.213,750.7,71.3,6,129.4,127,129.7,7877,84,0.06,-2.7,-2.7,10.43,-296,-0.1,-0.12,0.05,-0.06,-0.048,-0.05
