Date,Time,Site,Unit ID,User ID,°F-21A104910,mmHg-21A105443,DO %-21A106679,DO mg/L-21A106679,SPC-uS/cm-21A104910,C-uS/cm-21A104910,nLFC-uS/cm-21A104910,ohm-cm-21A104910,TDS mg/L-21A104910,SAL-PSU-21A104910,Density-21A104910,Density-T-21A104910,pH-21B101988,pH mV-21B101988,Phycocyanin RFU-21B101736,Phycocyanin ug/L-21B101736,Chlorophyll RFU-21B101736,Chlorophyll ug/L-21B101736,DEP m-20M103012,Vpos m-20M103012
8/11/2022,9:13:05 AM,Tank 24,Strauss lab 1,,70.561,753.4,96.7,8.55,175.6,163.6,176.7,6113,114,0.08,-2,-2,8.5,-183.8,0.41,0.39,1.04,4.07,-0.011,-0.017
8/11/2022,9:13:08 AM,Tank 24,Strauss lab 1,,70.569,753.4,100.9,8.92,175.5,163.5,176.6,6115,114,0.08,-2,-2,8.55,-186.4,0.41,0.39,1.02,3.99,-0.012,-0.015
8/11/2022,9:13:11 AM,Tank 24,Strauss lab 1,,70.575,753.4,101.9,9.01,175.5,163.5,176.6,6115,114,0.08,-2,-2,8.58,-188.2,0.44,0.42,0.95,3.69,-0.009,-0.013
8/11/2022,9:13:14 AM,Tank 24,Strauss lab 1,,70.572,753.4,102.6,9.07,175.5,163.6,176.7,6114,114,0.08,-2,-2,8.61,-190.1,0.3,0.28,0.97,3.78,-0.009,-0.016
8/11/2022,9:13:17 AM,Tank 24,Strauss lab 1,,70.567,753.4,103.2,9.12,175.6,163.6,176.7,6113,114,0.08,-2,-2,8.64,-191.9,0.3,0.28,1.01,3.92,-0.007,0.003
8/11/2022,9:13:20 AM,Tank 24,Strauss lab 1,,70.565,753.4,103.6,9.15,175.6,163.6,176.8,6112,114,0.08,-2,-2,8.67,-193.4,0.24,0.22,1.12,4.41,-0.009,0.002
8/11/2022,9:13:23 AM,Tank 24,Strauss lab 1,,70.566,753.5,104.4,9.23,175.6,163.6,176.7,6114,114,0.08,-2,-2,8.69,-194.8,0.37,0.35,1.07,4.17,-0.01,-0.017
8/11/2022,9:15:05 AM,Tank 26,Strauss lab 1,,76.4,753.4,88.4,7.34,193,191.8,193.1,5214,125,0.09,-2.8,-2.8,8.12,-162.6,0.43,0.41,0.3,0.98,-0.008,-0.017
8/11/2022,9:15:08 AM,Tank 26,Strauss lab 1,,76.406,753.5,89,7.4,193.1,191.8,193.2,5213,125,0.09,-2.8,-2.8,8.12,-162.7,0.39,0.37,0.34,1.13,-0.007,-0.007
8/11/2022,9:15:11 AM,Tank 26,Strauss lab 1,,76.414,753.4,89.8,7.46,193.9,192.7,194,5190,126,0.09,-2.8,-2.8,8.12,-162.5,0.33,0.31,0.39,1.36,-0.008,0.002
8/11/2022,9:15:14 AM,Tank 26,Strauss lab 1,,76.413,753.4,90.7,7.54,195,193.8,195.1,5161,127,0.09,-2.8,-2.8,8.11,-162.4,0.41,0.39,0.4,1.4,-0.011,-0.012
8/11/2022,9:15:17 AM,Tank 26,Strauss lab 1,,76.407,753.5,91.7,7.62,196.1,194.9,196.2,5131,127,0.09,-2.8,-2.8,8.11,-162.4,0.39,0.37,0.35,1.17,-0.011,-0.004
8/11/2022,9:15:20 AM,Tank 26,Strauss lab 1,,76.393,753.5,92.6,7.7,196.7,195.5,196.9,5116,128,0.09,-2.8,-2.8,8.12,-162.7,0.44,0.42,0.3,0.96,-0.01,-0.013
8/11/2022,9:15:23 AM,Tank 26,Strauss lab 1,,76.389,753.4,93.3,7.76,197,195.7,197.1,5109,128,0.09,-2.8,-2.8,8.13,-163.2,0.5,0.48,0.22,0.66,-0.01,-0.002
8/11/2022,9:15:26 AM,Tank 26,Strauss lab 1,,76.383,753.4,93.9,7.8,197.1,195.8,197.2,5107,128,0.09,-2.8,-2.8,8.14,-163.7,0.41,0.39,0.26,0.8,-0.01,-0.016
8/11/2022,9:15:29 AM,Tank 26,Strauss lab 1,,76.377,753.4,94.3,7.84,196.8,195.5,197,5114,128,0.09,-2.8,-2.8,8.15,-164.2,0.41,0.39,0.29,0.93,-0.01,-0.008
8/11/2022,9:15:32 AM,Tank 26,Strauss lab 1,,76.372,753.5,94.7,7.87,196.4,195.1,196.6,5125,128,0.09,-2.8,-2.8,8.16,-164.8,0.45,0.43,0.33,1.08,-0.008,0.002
8/11/2022,9:15:35 AM,Tank 26,Strauss lab 1,,76.368,753.5,95,7.9,196.2,194.9,196.4,5131,128,0.09,-2.8,-2.8,8.17,-165.3,0.44,0.42,0.32,1.06,-0.009,-0.017
8/11/2022,9:17:15 AM,Tank 59,Strauss lab 1,,76.35,753.4,94.1,7.82,218,216.5,218.1,4620,142,0.1,-2.8,-2.8,8.29,-172.7,0.22,0.2,0.91,3.53,-0.009,-0.018
8/11/2022,9:17:18 AM,Tank 59,Strauss lab 1,,76.348,753.4,94.3,7.84,217.9,216.4,218.1,4620,142,0.1,-2.8,-2.8,8.3,-172.9,0.16,0.14,0.88,3.4,-0.008,-0.012
8/11/2022,9:17:21 AM,Tank 59,Strauss lab 1,,76.347,753.4,94.5,7.86,217.9,216.4,218.1,4621,142,0.1,-2.8,-2.8,8.3,-173.2,0.21,0.18,0.96,3.71,-0.009,-0.004
8/11/2022,9:17:24 AM,Tank 59,Strauss lab 1,,76.345,753.5,94.7,7.87,217.9,216.4,218.1,4621,142,0.1,-2.8,-2.8,8.31,-173.4,0.26,0.23,0.96,3.7,-0.01,-0.005
8/11/2022,9:17:27 AM,Tank 59,Strauss lab 1,,76.344,753.3,94.8,7.88,217.9,216.4,218,4622,142,0.1,-2.8,-2.8,8.31,-173.6,0.39,0.37,0.99,3.83,-0.01,-0.002
8/11/2022,9:17:30 AM,Tank 59,Strauss lab 1,,76.344,753.4,95,7.9,217.9,216.3,218,4622,142,0.1,-2.8,-2.8,8.31,-173.8,0.41,0.39,0.99,3.83,-0.009,-0.012
8/11/2022,9:18:49 AM,Tank 58,Strauss lab 1,,76.825,753.5,91.6,7.58,187.2,186.9,187.3,5351,122,0.09,-2.9,-2.9,8.35,-176.3,0.08,0.06,0.11,0.2,-0.013,-0.013
8/11/2022,9:18:52 AM,Tank 58,Strauss lab 1,,76.825,753.4,91.9,7.6,187.2,186.9,187.3,5351,122,0.09,-2.9,-2.9,8.36,-176.5,0.3,0.28,0.16,0.38,-0.012,-0.001
8/11/2022,9:18:55 AM,Tank 58,Strauss lab 1,,76.825,753.4,92.2,7.63,187.2,186.9,187.2,5352,122,0.09,-2.9,-2.9,8.36,-176.7,0.33,0.31,0.19,0.54,-0.011,-0.014
8/11/2022,9:18:58 AM,Tank 58,Strauss lab 1,,76.825,753.4,92.4,7.64,187.2,186.8,187.2,5352,122,0.09,-2.9,-2.9,8.36,-176.9,0.36,0.34,0.18,0.48,-0.012,-0.025
8/11/2022,9:19:01 AM,Tank 58,Strauss lab 1,,76.825,753.4,92.6,7.66,187.2,186.8,187.2,5353,122,0.09,-2.9,-2.9,8.37,-177,0.33,0.31,0.15,0.35,-0.008,0.007
8/11/2022,9:19:04 AM,Tank 58,Strauss lab 1,,76.825,753.5,92.7,7.67,187.2,186.8,187.2,5353,122,0.09,-2.9,-2.9,8.37,-177.2,0.3,0.28,0.18,0.47,-0.009,0.001
8/11/2022,9:20:45 AM,Tank 54,Strauss lab 1,,70.764,753.3,91.8,8.1,180.5,168.6,181.7,5933,117,0.08,-2.1,-2.1,8.96,-210.3,0.15,0.13,0.63,2.33,-0.011,-0.012
8/11/2022,9:20:48 AM,Tank 54,Strauss lab 1,,70.774,753.4,92,8.12,180.5,168.6,181.6,5933,117,0.08,-2.1,-2.1,8.96,-210,0.16,0.14,0.62,2.31,-0.01,0.004
8/11/2022,9:20:51 AM,Tank 54,Strauss lab 1,,70.78,753.4,92.2,8.13,180.5,168.5,181.6,5933,117,0.08,-2.1,-2.1,8.95,-209.8,0.21,0.19,0.85,3.25,-0.013,-0.015
8/11/2022,9:20:54 AM,Tank 54,Strauss lab 1,,70.775,753.4,92.4,8.14,180.5,168.5,181.6,5934,117,0.08,-2.1,-2.1,8.95,-209.5,0.17,0.15,0.81,3.11,-0.013,-0.025
8/11/2022,9:20:57 AM,Tank 54,Strauss lab 1,,70.76,753.4,92.5,8.16,180.5,168.5,181.6,5933,117,0.08,-2.1,-2.1,8.94,-209.1,0.17,0.15,0.82,3.14,-0.01,-0.014
8/11/2022,9:21:00 AM,Tank 54,Strauss lab 1,,70.738,753.5,92.7,8.17,180.5,168.5,181.7,5933,117,0.08,-2.1,-2.1,8.94,-208.7,0.21,0.18,0.65,2.44,-0.011,-0.014
8/11/2022,9:23:05 AM,Tank 39,Strauss lab 1,,71.009,753.4,100.8,8.87,170.6,159.8,171.7,6259,111,0.08,-2.1,-2.1,8.85,-203.7,0.23,0.21,0.29,0.94,-0.01,-0.02
8/11/2022,9:23:08 AM,Tank 39,Strauss lab 1,,70.973,753.4,101.1,8.9,170.5,159.6,171.6,6264,111,0.08,-2.1,-2.1,8.85,-203.9,0.22,0.2,0.39,1.34,-0.009,0.001
8/11/2022,9:23:11 AM,Tank 39,Strauss lab 1,,70.896,753.4,101.5,8.93,169.9,158.9,171,6292,110,0.08,-2.1,-2.1,8.86,-204.2,0.23,0.21,0.42,1.46,-0.011,-0.02
8/11/2022,9:23:14 AM,Tank 39,Strauss lab 1,,70.787,753.3,102.1,9,170,158.8,171.1,6298,110,0.08,-2.1,-2.1,8.87,-204.7,0.14,0.12,0.42,1.49,-0.013,-0.02
8/11/2022,9:23:17 AM,Tank 39,Strauss lab 1,,70.718,753.4,102.8,9.07,170.1,158.8,171.2,6299,111,0.08,-2.1,-2.1,8.87,-205.2,0.12,0.1,0.43,1.53,-0.012,-0.025
8/11/2022,9:23:20 AM,Tank 39,Strauss lab 1,,70.708,753.4,103.6,9.14,170.9,159.5,172,6270,111,0.08,-2.1,-2.1,8.88,-205.6,0.14,0.12,0.38,1.31,-0.011,-0.008
8/11/2022,9:24:53 AM,Tank 40,Strauss lab 1,,70.743,753.4,105.3,9.29,171,159.6,172.1,6264,111,0.08,-2.1,-2.1,8.89,-205.9,0.35,0.33,1.23,4.83,-0.013,-0.006
8/11/2022,9:24:55 AM,Tank 40,Strauss lab 1,,70.71,753.3,105.7,9.33,170.6,159.3,171.7,6279,111,0.08,-2.1,-2.1,8.89,-206.1,0.39,0.37,1.23,4.83,-0.013,-0.006
8/11/2022,9:24:58 AM,Tank 40,Strauss lab 1,,70.673,753.3,106.2,9.37,170.3,158.8,171.3,6296,111,0.08,-2,-2,8.89,-206.4,0.27,0.25,1.2,4.71,-0.014,-0.019
8/11/2022,9:25:01 AM,Tank 40,Strauss lab 1,,70.623,753.4,106.8,9.43,170.1,158.6,171.2,6304,111,0.08,-2,-2,8.9,-206.9,0.34,0.32,1.2,4.72,-0.011,-0.004
8/11/2022,9:25:04 AM,Tank 40,Strauss lab 1,,70.601,753.3,107.4,9.49,170.2,158.7,171.3,6303,111,0.08,-2,-2,8.91,-207.4,0.28,0.26,1.11,4.35,-0.013,-0.02
8/11/2022,9:25:07 AM,Tank 40,Strauss lab 1,,70.574,753.3,108.1,9.55,170.7,159,171.8,6288,111,0.08,-2,-2,8.92,-207.9,0.33,0.31,1.06,4.12,-0.012,-0.015
8/11/2022,9:26:43 AM,Tank 43,Strauss lab 1,,76.127,753.4,94.4,7.87,186.8,185,187,5404,121,0.09,-2.8,-2.8,8.46,-182.2,0.44,0.42,1.75,6.99,-0.012,-0.023
8/11/2022,9:26:46 AM,Tank 43,Strauss lab 1,,76.143,753.3,94.7,7.89,186.8,185.1,187,5403,121,0.09,-2.8,-2.8,8.46,-182.2,0.32,0.3,1.64,6.54,-0.012,0
8/11/2022,9:26:49 AM,Tank 43,Strauss lab 1,,76.172,753.2,95.2,7.93,187.1,185.5,187.3,5392,122,0.09,-2.8,-2.8,8.45,-182,0.33,0.31,1.64,6.55,-0.012,-0.009
8/11/2022,9:26:52 AM,Tank 43,Strauss lab 1,,76.192,753.4,95.8,7.98,187.5,185.9,187.6,5380,122,0.09,-2.8,-2.8,8.45,-181.8,0.4,0.38,1.8,7.21,-0.013,-0.019
8/11/2022,9:26:55 AM,Tank 43,Strauss lab 1,,76.198,753.3,96.5,8.04,187.8,186.2,187.9,5372,122,0.09,-2.8,-2.8,8.45,-181.7,0.42,0.4,1.79,7.16,-0.013,-0.027
8/11/2022,9:26:58 AM,Tank 43,Strauss lab 1,,76.18,753.3,97.1,8.09,188,186.4,188.2,5366,122,0.09,-2.8,-2.8,8.45,-182,0.46,0.44,1.61,6.43,-0.01,-0.008
