Date,Time,Site,Unit ID,User ID,°F-21A104910,mmHg-21A105443,DO %-21A106679,DO mg/L-21A106679,SPC-uS/cm-21A104910,C-uS/cm-21A104910,nLFC-uS/cm-21A104910,ohm-cm-21A104910,TDS mg/L-21A104910,SAL-PSU-21A104910,Density-21A104910,Density-T-21A104910,pH-21B101988,pH mV-21B101988,Phycocyanin RFU-21B101736,Phycocyanin ug/L-21B101736,Chlorophyll RFU-21B101736,Chlorophyll ug/L-21B101736,DEP m-20M103012,Vpos m-20M103012
7/18/22,9:11:31 AM,Tank 29,Strauss lab 1,,71.639,751.1,114.4,9.99,153.3,144.6,154.2,6916,100,0.07,-2.2,-2.2,6.82,-87.3,0.34,0.31,1.11,4.35,-0.039,-0.023
7/18/22,9:11:34 AM,Tank 29,Strauss lab 1,,71.64,751.1,115,10.04,153.4,144.7,154.3,6911,100,0.07,-2.2,-2.2,6.86,-89.7,0.43,0.41,4.74,19.47,-0.038,-0.046
7/18/22,9:11:37 AM,Tank 29,Strauss lab 1,,71.641,751.1,115.5,10.09,153.5,144.8,154.4,6906,100,0.07,-2.2,-2.2,6.9,-91.9,0.33,0.31,0.47,1.69,-0.041,-0.051
7/18/22,9:11:40 AM,Tank 29,Strauss lab 1,,71.638,751,115.9,10.13,153.6,144.8,154.4,6904,100,0.07,-2.2,-2.2,6.94,-94.1,0.42,0.4,3.52,14.39,-0.037,-0.029
7/18/22,9:11:43 AM,Tank 29,Strauss lab 1,,71.637,751.1,116.3,10.16,153.6,144.9,154.5,6902,100,0.07,-2.2,-2.2,6.97,-96.2,0.41,0.39,2.46,9.95,-0.04,-0.025
7/18/22,9:11:46 AM,Tank 29,Strauss lab 1,,71.635,751.1,116.6,10.19,153.7,144.9,154.5,6900,100,0.07,-2.2,-2.2,7.01,-98.3,0.48,0.46,1.9,7.65,-0.041,-0.046
7/18/22,9:13:24 AM,Tank 45,Strauss lab 1,,71.323,751,101.5,8.9,153.1,143.9,154,6948,100,0.07,-2.1,-2.1,7.26,-112.9,0.26,0.24,2.18,8.81,-0.039,-0.024
7/18/22,9:13:27 AM,Tank 45,Strauss lab 1,,71.326,751.1,102.5,8.98,153.3,144.1,154.2,6942,100,0.07,-2.1,-2.1,7.27,-113.5,0.21,0.19,2.42,9.81,-0.039,-0.03
7/18/22,9:13:30 AM,Tank 45,Strauss lab 1,,71.328,751,103.1,9.04,153.4,144.1,154.2,6938,100,0.07,-2.1,-2.1,7.29,-114.2,0.23,0.2,1.77,7.08,-0.042,-0.03
7/18/22,9:13:33 AM,Tank 45,Strauss lab 1,,71.327,751.1,103.6,9.08,153.5,144.2,154.4,6934,100,0.07,-2.1,-2.1,7.3,-114.8,0.26,0.24,1.81,7.24,-0.042,-0.049
7/18/22,9:13:36 AM,Tank 45,Strauss lab 1,,71.327,751.1,103.9,9.11,153.5,144.3,154.4,6931,100,0.07,-2.1,-2.1,7.31,-115.4,0.31,0.29,1.75,7,-0.042,-0.05
7/18/22,9:13:39 AM,Tank 45,Strauss lab 1,,71.328,751,104.2,9.14,153.5,144.3,154.4,6931,100,0.07,-2.1,-2.1,7.32,-115.9,0.3,0.28,10.28,42.5,-0.039,-0.043
7/18/22,9:15:51 AM,Tank 63,Strauss lab 1,,70.885,751,121,10.65,149.8,140.1,150.8,7137,97,0.07,-2.1,-2.1,7.87,-147.8,0.27,0.25,0.73,2.76,-0.04,-0.042
7/18/22,9:15:54 AM,Tank 63,Strauss lab 1,,70.887,750.9,121.3,10.68,151,141.2,151.9,7083,98,0.07,-2.1,-2.1,7.9,-149.4,0.29,0.26,0.7,2.62,-0.042,-0.03
7/18/22,9:15:57 AM,Tank 63,Strauss lab 1,,70.888,750.9,121.6,10.71,152.2,142.4,153.2,7024,99,0.07,-2.1,-2.1,7.93,-150.9,0.32,0.3,0.7,2.64,-0.043,-0.046
7/18/22,9:16:00 AM,Tank 63,Strauss lab 1,,70.889,751,121.9,10.74,153.8,143.9,154.8,6951,100,0.07,-2.1,-2.1,7.95,-152.3,0.18,0.15,0.69,2.59,-0.045,-0.058
7/18/22,9:16:03 AM,Tank 63,Strauss lab 1,,70.891,751,122.2,10.76,154.5,144.5,155.5,6919,100,0.07,-2.1,-2.1,7.98,-153.7,0.11,0.09,0.65,2.45,-0.043,-0.044
7/18/22,9:16:06 AM,Tank 63,Strauss lab 1,,70.893,751.1,122.4,10.78,154.7,144.6,155.6,6914,101,0.07,-2.1,-2.1,8,-155,0.06,0.04,0.52,1.87,-0.043,-0.027
7/18/22,9:16:09 AM,Tank 63,Strauss lab 1,,70.895,751.1,122.6,10.8,154.7,144.7,155.7,6910,101,0.07,-2.1,-2.1,8.02,-156.4,0.14,0.12,0.48,1.74,-0.045,-0.036
